Min,Max
17,151
14,159
25,159
14,148
2,151
13,151
12,157
23,157
17,151
14,148
25,159
17,151
15,160
39,175
13,152
14,152
16,150
7,152
18,152
19,153
15,156
20,156
26,160
14,155
26,160
12,157
23,157
14,148
14,148
12,146
13,148
24,170
35,170
73,208
19,153
15,149
2,151
8,151
13,151
14,148
18,152
70,205
18,152
21,155
2,151
13,151
14,155
14,148
196,332
8,154
19,154
19,154
21,155
17,151
19,153
14,154
63,200
18,152
14,148
18,156
58,192
14,148
19,153
106,244
14,152
12,147
17,151
12,147
839,973
791,925
3,148
14,148
37,171
14,150
14,148
23,158
14,148
14,148
19,153
28,162
14,148
18,152
19,153
12,146
27,161
12,146
14,155
55,188
31,168
12,146
34,169
27,161
31,178
69,204
14,155
14,148
26,160
17,151
14,148
18,152
2,151
13,151
14,148
15,156
20,156
14,148
2,151
8,151
13,151
14,147
12,148
12,146
15,149
15,160
26,160
19,153
2,151
13,151
14,148
26,160
15,149
18,156
21,156
11,145
467,603
18,152
11,145
28,162
36,170
14,155
26,160
11,145
12,146
14,155
17,151
12,146
14,148
21,156
23,157
12,146
19,153
14,148
12,146
445,581
27,161
503,639
547,687
15,160
26,160
19,153
14,148
15,160
26,160
11,152
14,148
17,151
24,159
12,146
29,169
34,169
15,160
12,146
26,160
23,158
14,146
15,149
13,148
19,153
19,153
15,149
39,174
19,153
14,159
25,159
30,164
15,149
18,152
2,151
13,151
18,156
17,151
14,148
15,160
26,160
16,150
19,153
19,153
19,153
28,162
36,170
15,160
26,160
28,162
2,151
13,151
36,173
14,148
23,158
12,146
15,160
47,182
21,158
14,150
18,152
16,150
18,152
21,155
17,151
15,149
14,148
14,152
48,183
39,175
19,153
15,156
22,157
14,152
14,150
18,152
17,153
16,150
11,145
23,157
23,166
12,146
39,173
39,178
14,148
13,152
15,149
15,149
15,155
14,153
21,156
17,151
39,175
14,155
14,148
14,154
14,150
20,154
14,147
14,148
17,151
31,178
69,204
26,160
59,210
19,153
58,192
14,148
17,151
58,192
2,151
13,151
11,145
15,149
23,157
13,146
1,147
13,147
24,163
14,152
434,574
28,162
17,151
15,149
65,204
70,204
19,153
14,153
15,149
27,157
56,191
15,160
14,153
29,170
34,170
61,198
42,178
17,151
14,148
16,150
27,161
17,151
28,162
33,173
38,173
19,153
14,148
14,148
15,150
13,148
17,151
16,150
14,148
14,148
28,162
28,162
14,150
14,148
13,147
17,151
14,148
15,149
19,153
528,668
19,153
17,151
26,160
23,159
15,149
16,150
14,148
14,148
18,152
24,158
15,149
14,148
14,148
11,156
22,156
20,154
27,161
14,152
14,148
21,155
12,157
23,157
13,147
14,155
14,155
22,156
14,148
14,148
59,210
26,160
17,151
14,148
14,152
12,146
21,155
19,153
19,153
11,145
31,171
31,181
36,171
36,181
17,151
14,148
15,150
28,162
14,148
473,611
21,156
18,156
36,170
17,151
18,152
27,161
28,162
18,152
12,146
12,146
15,149
14,152
12,146
19,153
7,152
18,152
17,151
14,148
14,148
47,182
20,154
21,155
36,170
7,152
18,152
14,148
15,156
42,178
13,152
14,155
129,266
24,170
35,170
28,162
11,145
27,161
21,156
19,153
18,152
14,148
26,160
14,148
14,148
21,156
14,155
19,153
14,147
21,156
11,145
14,148
8,154
19,154
18,156
12,146
23,158
18,152
19,153
37,173
14,155
17,151
17,151
14,152
14,150
19,153
22,157
21,163
26,163
14,154
22,161
11,161
22,161
27,161
22,161
11,161
22,161
11,152
26,159
17,151
17,151
13,150
11,150
11,150
11,150
14,148
12,146
14,155
179,326
14,148
14,148
179,326
14,148
14,148
14,148
18,152
18,158
14,154
41,192
54,204
59,204
6,149
10,149
10,147
10,147
10,147
10,151
179,326
16,150
19,153
16,152
14,155
15,154
20,156
14,154
14,155
19,153
19,153
15,149
12,146
15,151
179,326
14,148
19,154
14,148
10,147
22,164
