Protein,ProteinID,Protein
Q32KW9,0.06,Q32KW9
Q60766,0.12,Q60766
Q6AYF9,0.14,Q6AYF9
Q6NXR0,0.12,Q6NXR0
Q8C262,0.02,Q8C262
Q8WZA9,0.02,Q8WZA9
Q9QZ85,0.1,Q9QZ85
